SEASON_ID,OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,TEAM_PTS,MATCHUP_AST,MATCHUP_TOV,MATCHUP_BLK,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG_PCT,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_FG3_PCT,HELP_BLK,HELP_FGM,HELP_FGA,HELP_FG_PERC,MATCHUP_FTM,MATCHUP_FTA,SFL,MATCHUP_TIME_SEC,MATCHUP_MIN_NUM
22025,1642270,Donovan Clingan,1642875,Maxime Raynaud,4,25:57,122.1,31,145,3,1,1,12,16,0.75,4,6,0.667,0,0,0,0,3,4,2,1556.8,25.95
22025,1628970,Miles Bridges,1631094,Paolo Banchero,4,24:24,121.8,27,148,3,3,0,10,25,0.4,5,13,0.385,0,0,0,0,2,3,1,1463.9,24.4
22025,202696,Nikola Vučević,1628976,Wendell Carter Jr.,3,23:32,121.7,20,107,6,5,0,9,12,0.75,2,2,1.0,0,0,0,0,0,0,0,1412.3,23.533333333333335
22025,1627826,Ivica Zubac,1631109,Mark Williams,4,26:40,121.6,38,122,4,4,0,16,21,0.762,0,0,0.0,0,0,0,0,6,10,4,1599.9,26.666666666666668
22025,203497,Rudy Gobert,203999,Nikola Jokić,4,23:34,120.9,15,114,4,3,2,7,15,0.467,0,0,0.0,0,0,0,0,1,2,1,1413.9,23.566666666666666
22025,2544,LeBron James,1629023,P.J. Washington,4,23:16,120.5,30,132,13,5,1,13,25,0.52,3,9,0.333,0,0,0,0,1,5,2,1396.0,23.266666666666666
22025,203497,Rudy Gobert,201572,Brook Lopez,4,24:39,120.5,12,107,4,4,1,5,6,0.833,0,0,0.0,0,0,0,0,2,2,0,1478.8,24.65
22025,1630581,Josh Giddey,1629614,Andrew Nembhard,3,23:11,120.2,23,138,10,4,0,8,12,0.667,1,4,0.25,0,0,0,0,6,8,4,1390.6,23.183333333333334
22025,201142,Kevin Durant,1629652,Luguentz Dort,3,29:07,120.0,25,130,5,2,0,9,17,0.529,1,4,0.25,0,0,0,0,6,7,1,1747.4,29.116666666666667
22025,203999,Nikola Jokić,1630578,Alperen Sengun,4,23:37,119.9,50,133,13,6,0,22,42,0.524,5,12,0.417,0,0,0,0,1,2,2,1416.8,23.616666666666667
22025,1628973,Jalen Brunson,1630700,Dyson Daniels,3,25:25,119.5,35,118,10,2,0,15,31,0.484,1,7,0.143,0,0,0,0,4,5,3,1525.1,25.416666666666668
